version,version_slug,matrix_size,n_tests,mean_wall_s,median_wall_s,std_wall_s,min_wall_s,max_wall_s,mean_cpu_s,std_cpu_s,operations,gflops_wall,gflops_cpu,ci95_wall_s,python_mean_wall_s,python_std_wall_s,python_n_tests,speedup_vs_python,speedup_std,speedup_ci95,previous_mean_wall_s,speedup_vs_previous
Python,python,512,5,7.6501345999999995,7.670087,0.07688227695184353,7.559523,7.721842,7.649079,0.07668394908649388,268435456.0,0.03508898470884421,0.03509382711304197,0.06739028703148069,7.6501345999999995,0.07688227695184353,5,1.0,0.014212555001505667,0.012457853733989948,,
Python,python,1024,5,74.9237304,75.106546,0.4280688041253427,74.339428,75.320569,74.9139902,0.42661617275451086,2147483648.0,0.028662262764214953,0.028665989386852872,0.375218850467953,74.9237304,0.4280688041253427,5,1.0,0.008079959516042618,0.0070823967834604965,,
Python,python,2048,5,684.3921822,684.369546,0.05530926874136049,684.359525,684.490578,684.3145292,0.060413170585549444,17179869184.0,0.02510237496982326,0.025105223476818737,0.04848071159906262,684.3921822,0.05530926874136049,5,1.0,0.00011428990571974755,0.00010017951934590784,,
Python,python,4096,2,6358.5663605,6358.5663605,4.216496828098322,6355.584847,6361.547874,6354.3000295,2.4256018265334163,137438953472.0,0.021614770638517425,0.02162928297907498,5.843766459999788,6358.5663605,4.216496828098322,2,1.0,0.0009377942545418188,0.0012997165264188343,,
Python,python,8192,1,62428.148787,62428.148787,0.0,62428.148787,62428.148787,62404.48787,0.0,1099511627776.0,0.0176124336399506,0.017619111466253588,0.0,62428.148787,0.0,1,1.0,0.0,0.0,,
NumPy,numpy,512,5,0.0644992,0.06216,0.00560502334517886,0.059609,0.073156,0.0644126,0.005451366370003031,268435456.0,4.1618416352450875,4.16743705424094,0.004913019580394934,7.6501345999999995,0.07688227695184353,5,118.60820909406627,10.375828143089969,9.094814363915397,7.6501345999999995,118.60820909406627
NumPy,numpy,1024,5,0.507484,0.503286,0.019323145383192672,0.485944,0.535487,0.5072434,0.019094253855545144,2147483648.0,4.231628283847372,4.233635465734991,0.016937483713444574,74.9237304,0.4280688041253427,5,147.63762089051082,5.684436370433194,4.982628166119833,74.9237304,147.63762089051082
NumPy,numpy,2048,5,4.4033704,4.40797,0.035187480931433764,4.358368,4.442023,4.4029828,0.03527033424423424,17179869184.0,3.901527153836525,3.9018706100782405,0.0308431869333081,684.3921822,0.05530926874136049,5,155.42462251188317,1.242066897543152,1.0887196380794317,684.3921822,155.42462251188317
NumPy,numpy,4096,5,35.434793400000004,35.367984,0.14576811796239697,35.275319,35.592079,35.4302364,0.14463486141072504,137438953472.0,3.8786441315049407,3.879142998662013,0.12777138892072207,6358.5663605,4.216496828098322,2,179.44414939075105,0.7477086659269698,1.036271341336658,6358.5663605,179.44414939075105
NumPy,numpy,8192,5,280.8661432,280.881919,0.3888423150143306,280.298054,281.299764,280.8308598,0.3915597191740892,1099511627776.0,3.914717577736155,3.915209420214865,0.34083531676896867,62428.148787,0.0,1,222.27011086397115,0.30771962573393735,0.6031304664385172,62428.148787,222.27011086397115
C,c,512,5,0.3943282,0.394105,0.003037034688639572,0.389687,0.397546,0.39418000000000003,0.002882623457893878,268435456.0,0.6807412099870108,0.6809971485108325,0.0026620782774186124,7.6501345999999995,0.07688227695184353,5,19.400424823788914,0.24564032772916053,0.21531324056054996,0.0644992,0.16356730256674518
C,c,1024,5,3.6364621999999995,3.624356,0.029127511543212803,3.612277,3.68634,3.6358118,0.02903692712220083,2147483648.0,0.5905419965591834,0.5906476369321426,0.02553138956380518,74.9237304,0.4280688041253427,5,20.603467403016044,0.20271188891996927,0.17768480488119556,0.507484,0.13955431738022744
C,c,2048,5,36.8036372,36.802347,0.03749698007439838,36.755775,36.844758,36.8000188,0.037047204816288544,17179869184.0,0.46679813439743395,0.46684403280793974,0.03286755218774548,684.3921822,0.05530926874136049,5,18.595775696865093,0.019005610133423754,0.01665915179518019,4.4033704,0.1196449790022384
C,c,4096,5,305.9413616,305.952175,0.13076748405394967,305.739261,306.105848,305.876848,0.10163497593591884,137438953472.0,0.449232992731768,0.44932774209834936,0.11462275356777048,6358.5663605,4.216496828098322,2,20.78361136672146,0.016396972683813904,0.02272504472828457,35.434793400000004,0.11582217329060879
C,c,8192,3,3459.5707983333336,3459.101548,1.4006136290592206,3458.465061,3461.145786,3459.130105,1.4989728417615724,1099511627776.0,0.3178173513042992,0.3178578412493681,1.5849435253052795,62428.148787,0.0,1,18.045055998586612,0.007305574258209489,0.014318925546090598,280.8661432,0.08118525666111784
C AVX,c_avx,512,5,0.0954344,0.082482,0.028205247619902226,0.080999,0.145792,0.09542439999999999,0.02820199952662931,268435456.0,2.8127745970006623,2.813069361714614,0.024722989592123684,7.6501345999999995,0.07688227695184353,5,80.1611850653433,23.705004229864286,20.778352339039465,0.3943282,4.131929367188351
C AVX,c_avx,1024,5,1.0772210000000002,0.991016,0.19796444557293608,0.978726,1.431132,1.0770878,0.197901589586087,2147483648.0,1.9935404601284226,1.993786994894938,0.1735234873122238,74.9237304,0.4280688041253427,5,69.55279408774985,12.788121383974826,11.209282617881868,3.6364621999999995,3.3757810142951157
C AVX,c_avx,2048,5,13.202513999999999,13.212589,0.0439459827401775,13.142203,13.259494,13.2011124,0.04411027333059633,17179869184.0,1.3012574108234236,1.301395569058256,0.03852035226006719,684.3921822,0.05530926874136049,5,51.83801980440998,0.1725992527518064,0.15128991551133303,36.8036372,2.787623417782401
C AVX,c_avx,4096,5,99.9726048,99.590986,0.9693015726205654,99.343232,101.691091,99.9585846,0.9707580369923794,137438953472.0,1.3747661546576007,1.374958979481188,0.8496302891741969,6358.5663605,4.216496828098322,2,63.60308779810847,0.6181152862451453,0.856664080499652,305.9413616,3.060251978149918
C AVX,c_avx,8192,5,848.1218298,848.848421,1.0297724005085827,846.874877,848.915487,847.9029864,1.3762825181154836,1099511627776.0,1.2964076494001828,1.2967422516628608,0.9026353068450091,62428.148787,0.0,1,73.6075249964047,0.08937277057108378,0.1751706303193242,3459.5707983333336,4.079096512760617
C AVX + Unroll,c_avx_unroll,512,5,0.0275024,0.024014,0.007474903297033349,0.023952,0.040861,0.0274864,0.007449883442041223,268435456.0,9.760437489091862,9.76611909889982,0.006552041623782316,7.6501345999999995,0.07688227695184353,5,278.1624367327942,75.65369701626445,66.3133892367958,0.0954344,3.4700389784164294
C AVX + Unroll,c_avx_unroll,1024,5,0.2705532,0.236514,0.07426395570665492,0.228336,0.402518,0.270108,0.07418136163147725,2147483648.0,7.937380330374951,7.950462955558518,0.06509522726934062,74.9237304,0.4280688041253427,5,276.9279032737369,76.03020813657704,66.6434157848428,1.0772210000000002,3.981549654559622
C AVX + Unroll,c_avx_unroll,2048,5,3.1275072,3.127294,0.019707573156022937,3.096684,3.150673,3.1270784,0.01952386279146631,17179869184.0,5.493150961890671,5.493904209117367,0.017274449513379603,684.3921822,0.05530926874136049,5,218.8299301757003,1.3790412742512526,1.2087829729374624,13.202513999999999,4.221417619757998
C AVX + Unroll,c_avx_unroll,4096,5,26.943792000000002,27.007359,0.16333308204708513,26.733877,27.129737,26.9412876,0.16277978289947526,137438953472.0,5.100950655794848,5.101424828410948,0.14316775877727847,6358.5663605,4.216496828098322,2,235.99374432893484,1.4391263421116491,1.994527351163023,99.9726048,3.7104133226681677
C AVX + Unroll,c_avx_unroll,8192,5,215.25657,215.379363,0.34516458600644245,214.771367,215.621669,215.22824339999997,0.3452549041487981,1099511627776.0,5.107912050145554,5.108584312201844,0.3025500992725033,62428.148787,0.0,1,290.017390814134,0.4650437969676335,0.9114858420565616,848.1218298,3.9400508416537527
C AVX + Unroll + Blocking,c_avx_block,512,5,0.026635399999999997,0.026632,0.0003571474485419147,0.026224,0.027173,0.0266276,0.00035792080129548284,268435456.0,10.078146226450515,10.081098409169433,0.00031305354138868913,7.6501345999999995,0.07688227695184353,5,287.2168092087973,4.812857074995464,4.218655229586819,0.0275024,1.0325506656554813
C AVX + Unroll + Blocking,c_avx_block,1024,5,0.212961,0.212915,0.003745068557449916,0.207128,0.21677,0.21287699999999998,0.0036935729991432248,2147483648.0,10.083929207695306,10.087908266275832,0.0032826973269431945,74.9237304,0.4280688041253427,5,351.8190203840139,6.505320790330651,5.702165085027821,0.2705532,1.2704354318396325
C AVX + Unroll + Blocking,c_avx_block,2048,5,1.7194973999999998,1.715503,0.007670269180413337,1.713238,1.729993,1.7184595999999999,0.007611870125008774,17179869184.0,9.991215563338452,9.997249387765649,0.00672328737090532,684.3921822,0.05530926874136049,5,398.0187362888714,1.775758324041694,1.556520799073984,3.1275072,1.8188496243146401
C AVX + Unroll + Blocking,c_avx_block,4096,5,13.6481418,13.639408,0.05415667545372479,13.607065,13.741152,13.645836800000001,0.054402675069339344,137438953472.0,10.070158669658605,10.071859680455798,0.04747041903796977,6358.5663605,4.216496828098322,2,465.8924602102244,1.8743269176367756,2.597684576298029,26.943792000000002,1.974172923672291
C AVX + Unroll + Blocking,c_avx_block,8192,5,117.63595620000001,118.011669,1.7803394623123698,114.749034,119.491963,117.61840839999999,1.7795846273550187,1099511627776.0,9.346730908589324,9.348125371980462,1.5605363438163062,62428.148787,0.0,1,530.6893470637679,8.031619050216987,15.741973338425295,215.25657,1.8298535324865237
